NOME FANTASIA,RAZÃO SOCIAL,CNPJ,TIPO,ATIVIDADE,NATUREZA JURÍDICA,PORTE,FATURAMENTO,CAPITAL SOCIAL,QUANT. FUNC.,DATA ABERT.,SÓCIOS,TELEFONE,EMAIL,CIDADE,ESTADO,BAIRRO,CEP,LOGRADOURO,NÚMERO,LOCATION,Lat,Lng,km.res$cluster
Villa Cuite,Villa Cuite Bar E Restaurante Eireli - Epp,19.717.195/0001-13,SERVIÇOS,Serviço de alojamento e alimentação,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Cuite,PB,Centro,-,Rua 25 De Janeiro,-,"Rua 25 De Janeiro, Cuite - PB",-6.4820366,-36.1614951,3
Subway,Ac Mangueira Comercio De Alimentos Ltda - Epp,17.950.334/0001-29,SERVIÇOS,Serviço de alojamento e alimentação,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Cajazeiras,PB,Santa Cecilia,-,Avenida Comandante Vital Rolim,-,"Avenida Comandante Vital Rolim, Cajazeiras - PB",-6.8881509,-38.5532389,3
Banana Da Terra,Banana Da Terra Restaurante Eireli - Epp,21.103.141/0001-00,SERVIÇOS,Serviço de alojamento e alimentação,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Santa Rita,PB,Centro,-,Rua Francisco Gomes De Azevedo,-,"Rua Francisco Gomes De Azevedo, Santa Rita - PB",-7.1248262,-34.9815942,3
Nipan Comercio De Alimentos Ltda - Epp,Nipan Comercio De Alimentos Ltda - Epp,18.474.731/0001-34,SERVIÇOS,Serviço de alojamento e alimentação,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Joao Pessoa,PB,Bancarios,-,Rua Sergio Guerra,-,"Rua Sergio Guerra, Joao Pessoa - PB",-7.149315,-34.8418067,3
Restaurante D'vore,Dinart Jose Bezerra Da Silva Junior,08.377.619/0001-21,SERVIÇOS,Serviço de alojamento e alimentação,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Cabedelo,PB,Intermares,-,Avenida Mar Vermelho,-,"Avenida Mar Vermelho, Cabedelo - PB",-7.0441958,-34.8439989,3
O Jose,Felismina Ivone Ferreira Neres 03173377427,21.731.165/0001-03,SERVIÇOS,Serviço de alojamento e alimentação,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Patos,PB,Centro,-,Rua Felizardo Leite,-,"Rua Felizardo Leite, Patos - PB",-7.0297644,-37.2833148,3
Self Service Sabor De Casa,Augusto Diniz Gomes 08589034402,21.940.225/0001-06,SERVIÇOS,Serviço de alojamento e alimentação,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Patos,PB,Belo Horizonte,-,Rua Horacio Nobrega,-,"Rua Horacio Nobrega, Patos - PB",-7.0146089,-37.2860121,3
Portugacai,Amanda Barbosa Andrade Silva 70111636469,22.409.846/0001-12,SERVIÇOS,Serviço de alojamento e alimentação,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Lagoa Seca,PB,Centro,-,Rua Lucas Rocha,-,"Rua Lucas Rocha, Lagoa Seca - PB",-7.1555383,-35.8562507,3
Treilher Do Tcharles,Rubens Carlos Teixeira 03253499405,17.541.973/0001-30,SERVIÇOS,Serviço de alojamento e alimentação,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Lagoa Seca,PB,Centro,-,Rua Cicero Faustino Da Silva,-,"Rua Cicero Faustino Da Silva, Lagoa Seca - PB",-7.1579169,-35.8545651,3
Lanchonete E Pizzaria Ebenezer,Wellington Do Nascimento Santos 06194636432,11.867.718/0001-04,SERVIÇOS,Serviço de alojamento e alimentação,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Lagoa Seca,PB,Centro,-,Rua Lucio Brasileiro,-,"Rua Lucio Brasileiro, Lagoa Seca - PB",-7.1534451,-35.8539615,3
Vera Lucia Cunha 43670105468,Vera Lucia Cunha 43670105468,14.861.857/0001-00,SERVIÇOS,Serviço de alojamento e alimentação,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Lagoa Seca,PB,Centro,-,Rua Jose Caetano De Andrade,-,"Rua Jose Caetano De Andrade, Lagoa Seca - PB",-7.1553886,-35.8550288,3
Hotel E Restaurante Anel Do Brejo Ltda - Epp,Hotel E Restaurante Anel Do Brejo Ltda - Epp,11.936.395/0001-55,SERVIÇOS,Serviço de alojamento e alimentação,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Solanea,PB,Centro,-,Rua Alfredo Fabricio De Oliveira,-,"Rua Alfredo Fabricio De Oliveira, Solanea - PB",-6.7579068,-35.6755808,3
Janaina Estrela Braga Da Conceicao 67619754415 - Epp,Janaina Estrela Braga Da Conceicao 67619754415 - Epp,15.552.933/0001-69,SERVIÇOS,Serviço de alojamento e alimentação,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Cabedelo,PB,Renascer,-,Rua Airton Senna Da Silva,-,"Rua Airton Senna Da Silva, Cabedelo - PB",-7.0193329,-34.8378624,3
Bali Bar E Restaurante,Bali Bar E Restaurante Ltda,19.671.378/0001-45,SERVIÇOS,Serviço de alojamento e alimentação,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Sousa,PB,Centro,-,Rua Odon Bezerra,-,"Rua Odon Bezerra, Sousa - PB",-6.7608387,-38.2281899,3
M D Restaurante E Choperia Ltda - Epp,M D Restaurante E Choperia Ltda - Epp,24.836.692/0001-70,SERVIÇOS,Serviço de alojamento e alimentação,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Campina Grande,PB,Catole,-,Avenida Prefeito Severino Bezerra Cabral,-,"Avenida Prefeito Severino Bezerra Cabral, Campina Grande - PB",-7.2390598,-35.86361,2
E S D A N Restaurante Ltda - Epp,E S D A N Restaurante Ltda - Epp,02.900.638/0001-04,SERVIÇOS,Serviço de alojamento e alimentação,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Campina Grande,PB,Catole,-,Avenida Severino Bezerra Cabral,-,"Avenida Severino Bezerra Cabral, Campina Grande - PB",-7.2390598,-35.86361,2
Mega Burg Restaurante E Lanchonete Ltda - Epp,Mega Burg Restaurante E Lanchonete Ltda - Epp,02.456.086/0001-97,SERVIÇOS,Serviço de alojamento e alimentação,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Campina Grande,PB,Centro,-,Rua Venancio Neiva,-,"Rua Venancio Neiva, Campina Grande - PB",-7.21816,-35.8845104,3
Restaurante Gulas Ltda - Epp,Restaurante Gulas Ltda - Epp,02.403.403/0001-07,SERVIÇOS,Serviço de alojamento e alimentação,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Campina Grande,PB,Centro,-,Rua Joao Suassuna,-,"Rua Joao Suassuna, Campina Grande - PB",-7.2122617,-35.896333,2
Maria Do Socorro Araujo Barreto - Epp,Maria Do Socorro Araujo Barreto - Epp,14.800.178/0001-21,SERVIÇOS,Serviço de alojamento e alimentação,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Campina Grande,PB,Catole,-,Rua Inacio Pedro Diniz,-,"Rua Inacio Pedro Diniz, Campina Grande - PB",-7.2281771,-35.8771666,3
Restaurante E Lanchonete O Panelao Ltda - Epp,Restaurante E Lanchonete O Panelao Ltda - Epp,05.848.091/0001-33,SERVIÇOS,Serviço de alojamento e alimentação,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Campina Grande,PB,Catole,-,Rua Antonio Guedes De Andrade,-,"Rua Antonio Guedes De Andrade, Campina Grande - PB",-7.2284267,-35.8800518,3
Littoral Administracao Empreendimentos - Eireli - Epp,Littoral Administracao Empreendimentos - Eireli - Epp,03.500.110/0001-00,SERVIÇOS,Serviço de alojamento e alimentação,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Joao Pessoa,PB,Cabo Branco,-,Avenida Cabo Branco,-,"Avenida Cabo Branco, Joao Pessoa - PB",-7.1399053,-34.8166105,3
J Rua Hotel,J Rua Hotel Ltda,41.144.072/0001-90,SERVIÇOS,Serviço de alojamento e alimentação,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Joao Pessoa,PB,Centro,-,Rua Rodrigues Chaves,-,"Rua Rodrigues Chaves, Joao Pessoa - PB",-7.1263253,-34.8854761,3
J Rua G - Hoteis Ltda - Epp,J Rua G - Hoteis Ltda - Epp,23.067.517/0001-01,SERVIÇOS,Serviço de alojamento e alimentação,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Joao Pessoa,PB,Tambau,-,Avenida Almirante Tamandare,-,"Avenida Almirante Tamandare, Joao Pessoa - PB",-7.1146311,-34.8226207,3
Littoral Hoteis Turismo Eireli,Littoral Hoteis Turismo Eireli,12.619.508/0001-51,SERVIÇOS,Serviço de alojamento e alimentação,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Joao Pessoa,PB,Cabo Branco,-,Avenida Cabo Branco,-,"Avenida Cabo Branco, Joao Pessoa - PB",-7.1399053,-34.8166105,3
Carne De Sol Do Picui Ltda - Epp,Carne De Sol Do Picui Ltda - Epp,35.591.536/0001-03,SERVIÇOS,Serviço de alojamento e alimentação,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Joao Pessoa,PB,Torre,-,Avenida Feliciano Dourado,-,"Avenida Feliciano Dourado, Joao Pessoa - PB",-7.1278928,-34.8595098,3
Grf Grill Restaurante Ltda - Epp,Grf Grill Restaurante Ltda - Epp,23.766.565/0001-80,SERVIÇOS,Serviço de alojamento e alimentação,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Joao Pessoa,PB,Mangabeira,-,Avenida Hilton Souto Maior,-,"Avenida Hilton Souto Maior, Joao Pessoa - PB",-7.1632975,-34.8312853,3
Afonso Gilberto Anschau 73675490904,Afonso Gilberto Anschau 73675490904,22.585.648/0001-00,SERVIÇOS,Serviço de alojamento e alimentação,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Joao Pessoa,PB,Tambauzinho,-,Rua Major Salustino Ribeiro,-,"Rua Major Salustino Ribeiro, Joao Pessoa - PB",-7.1207106,-34.8430031,3
O Balcao Bar E Restaurante Ltda - Epp,O Balcao Bar E Restaurante Ltda - Epp,97.553.302/0001-29,SERVIÇOS,Serviço de alojamento e alimentação,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Joao Pessoa,PB,Bessa,-,Rua Francisco Leocadio Ribeiro Coutinho,-,"Rua Francisco Leocadio Ribeiro Coutinho, Joao Pessoa - PB",-7.0848545,-34.8440032,3
Nicole Pedrosa Chang - Epp,Nicole Pedrosa Chang - Epp,14.243.316/0001-19,SERVIÇOS,Serviço de alojamento e alimentação,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Joao Pessoa,PB,Manaira,-,Avenida Franca Filho,-,"Avenida Franca Filho, Joao Pessoa - PB",-7.1097805,-34.8300611,3
Rohan Oliveira Dos Santos - Epp,Rohan Oliveira Dos Santos - Epp,21.024.016/0001-04,SERVIÇOS,Serviço de alojamento e alimentação,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Joao Pessoa,PB,Cruz Das Armas,-,Avenida Cruz Das Armas,-,"Avenida Cruz Das Armas, Joao Pessoa - PB",-7.1487564,-34.893197,2
Douglas Andrade Da Silva 70267916485,Douglas Andrade Da Silva 70267916485,19.889.357/0001-09,SERVIÇOS,Serviço de alojamento e alimentação,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Joao Pessoa,PB,Bessa,-,Rua Presidente Nilo Pecanha,-,"Rua Presidente Nilo Pecanha, Joao Pessoa - PB",-7.0681239,-34.8445756,3
Marinaldo Da Cunha Melo - Epp,Marinaldo Da Cunha Melo - Epp,03.143.134/0001-50,SERVIÇOS,Serviço de alojamento e alimentação,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Joao Pessoa,PB,Jd 13 De Maio,-,Rua Dep Alvaro Gaudencio,-,"Rua Dep Alvaro Gaudencio, Joao Pessoa - PB",-7.1148642,-34.8645255,3
Glitz Eventos E Buffet Ltda - Epp,Glitz Eventos E Buffet Ltda - Epp,19.346.418/0001-83,SERVIÇOS,Serviço de alojamento e alimentação,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Joao Pessoa,PB,Jardim Oceania,-,Rua Rosa Xavier De Sa,-,"Rua Rosa Xavier De Sa, Joao Pessoa - PB",-7.0806533,-34.834145,2
Dos Santos Comercio De Tortas Ltda - Epp,Dos Santos Comercio De Tortas Ltda - Epp,15.378.510/0001-74,SERVIÇOS,Serviço de alojamento e alimentação,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Joao Pessoa,PB,Cabo Branco,-,Avenida Monsenhor Odilon Coutinho,-,"Avenida Monsenhor Odilon Coutinho, Joao Pessoa - PB",-7.1249236,-34.8261158,3
Joao Ferreira Da Silva Filho 56764570400,Joao Ferreira Da Silva Filho 56764570400,18.430.825/0001-01,SERVIÇOS,Serviço de alojamento e alimentação,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Joao Pessoa,PB,Mangabeira,-,Rua Comerciante Joao Rodrigues De Lima,-,"Rua Comerciante Joao Rodrigues De Lima, Joao Pessoa - PB",-7.1786121,-34.8459451,3
Ad ServiÇo De Lanchonetes Ltda - Epp,Ad ServiÇo De Lanchonetes Ltda - Epp,21.778.629/0001-37,SERVIÇOS,Serviço de alojamento e alimentação,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Joao Pessoa,PB,Estados,-,Avenida Presidente Epitacio Pessoa,-,"Avenida Presidente Epitacio Pessoa, Joao Pessoa - PB",-7.1196999,-34.8471031,3
Casa Forte Comercio De Alimentos Ltda - Epp,Casa Forte Comercio De Alimentos Ltda - Epp,13.520.801/0001-20,SERVIÇOS,Serviço de alojamento e alimentação,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Joao Pessoa,PB,Manaira,-,Avenida Governador Flavio Ribeiro Coutinho,-,"Avenida Governador Flavio Ribeiro Coutinho, Joao Pessoa - PB",-7.0976486,-34.8408272,3
Dona Coxinha Paraiba Lanchonete Ltda - Epp,Dona Coxinha Paraiba Lanchonete Ltda - Epp,25.007.470/0001-08,SERVIÇOS,Serviço de alojamento e alimentação,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Joao Pessoa,PB,Centro,-,Avenida Dom Pedro Ii,-,"Avenida Dom Pedro Ii, Joao Pessoa - PB",-7.1297212,-34.8667054,3
Ale Restaurante Ltda - Epp,Ale Restaurante Ltda - Epp,24.080.685/0001-91,SERVIÇOS,Serviço de alojamento e alimentação,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Joao Pessoa,PB,Manaira,-,Avenida Governador Flavio Ribeiro Coutinho,-,"Avenida Governador Flavio Ribeiro Coutinho, Joao Pessoa - PB",-7.0976486,-34.8408272,3
Lima Brigidio Sorveteria Ltda - Epp,Lima Brigidio Sorveteria Ltda - Epp,24.824.536/0001-90,SERVIÇOS,Serviço de alojamento e alimentação,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Joao Pessoa,PB,Jardim Sao Paulo,-,Rua Empresario Joao Rodrigues Alves,-,"Rua Empresario Joao Rodrigues Alves, Joao Pessoa - PB",-7.1474629,-34.8458715,3
Bmh Comercio De Lanchonetes Ltda - Epp,Bmh Comercio De Lanchonetes Ltda - Epp,24.990.370/0001-81,SERVIÇOS,Serviço de alojamento e alimentação,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Joao Pessoa,PB,Bancarios,-,Rua Bancario Sergio Guerra,-,"Rua Bancario Sergio Guerra, Joao Pessoa - PB",-7.149315,-34.8418067,3
Spra Lanchonete E Restaurante Ltda - Epp,Spra Lanchonete E Restaurante Ltda - Epp,19.063.433/0001-14,SERVIÇOS,Serviço de alojamento e alimentação,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Campina Grande,PB,Prata,-,Rua Rodrigues Alves,-,"Rua Rodrigues Alves, Campina Grande - PB",-7.2196557,-35.8993768,3
Emmanuelina Franco Guimaraes - Epp,Emmanuelina Franco Guimaraes - Epp,35.569.599/0001-63,SERVIÇOS,Serviço de alojamento e alimentação,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Joao Pessoa,PB,Cabo Branco,-,Avenida Indio Arabutan,-,"Avenida Indio Arabutan, Joao Pessoa - PB",-7.1209034,-34.8267097,3
Adriene Jacinto Pereira Eireli - Epp,Adriene Jacinto Pereira Eireli - Epp,22.434.261/0001-52,SERVIÇOS,Serviço de alojamento e alimentação,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Joao Pessoa,PB,Bessa,-,Avenida Presidente Afonso Pena,-,"Avenida Presidente Afonso Pena, Joao Pessoa - PB",-7.0663038,-34.8401772,3
Gabriel Antonio Prado Lucena 01405338423,Gabriel Antonio Prado Lucena 01405338423,15.591.656/0001-01,SERVIÇOS,Serviço de alojamento e alimentação,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Joao Pessoa,PB,Bessa,-,Avenida Presidente Afonso Pena,-,"Avenida Presidente Afonso Pena, Joao Pessoa - PB",-7.0663038,-34.8401772,3
Giovani Venancio De Figueiredo 67581404404,Giovani Venancio De Figueiredo 67581404404,23.219.958/0001-73,SERVIÇOS,Serviço de alojamento e alimentação,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Joao Pessoa,PB,Bessa,-,Avenida Presidente Afonso Pena,-,"Avenida Presidente Afonso Pena, Joao Pessoa - PB",-7.0663038,-34.8401772,3
Jedson Jose Do Nascimento 03470983470,Jedson Jose Do Nascimento 03470983470,11.957.989/0001-42,SERVIÇOS,Serviço de alojamento e alimentação,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Joao Pessoa,PB,Trincheiras,-,Rua Rodrigues Chaves,-,"Rua Rodrigues Chaves, Joao Pessoa - PB",-7.1263253,-34.8854761,3
Marcio Aurelio Dos Anjos 04224227460,Marcio Aurelio Dos Anjos 04224227460,12.115.052/0001-92,SERVIÇOS,Serviço de alojamento e alimentação,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Joao Pessoa,PB,Centro,-,Rua Treze De Maio,-,"Rua Treze De Maio, Joao Pessoa - PB",-7.1207371,-34.8823726,3
Do Vale ServiÇos De Cafeteria Eireli - Epp,Do Vale ServiÇos De Cafeteria Eireli - Epp,23.613.074/0001-07,SERVIÇOS,Serviço de alojamento e alimentação,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Joao Pessoa,PB,Centro,-,Rua Professora Alice Azevedo,-,"Rua Professora Alice Azevedo, Joao Pessoa - PB",-7.12415,-34.8834405,3
Capitao Farinha Massas Ltda - Epp,Capitao Farinha Massas Ltda - Epp,09.257.372/0001-72,SERVIÇOS,Serviço de alojamento e alimentação,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Joao Pessoa,PB,Jaguaribe,-,Avenida Floriano Peixoto,-,"Avenida Floriano Peixoto, Joao Pessoa - PB",-7.1333968,-34.8774719,3
Christiana Araujo Lima,Christiana Araujo Lima,15.087.378/0001-41,SERVIÇOS,Serviço de alojamento e alimentação,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Joao Pessoa,PB,Bessa,-,Rua Presidente Nilo Pecanha,-,"Rua Presidente Nilo Pecanha, Joao Pessoa - PB",-7.0681239,-34.8445756,3
Dvl Alimentos Ltda - Epp,Dvl Alimentos Ltda - Epp,14.770.183/0001-39,SERVIÇOS,Serviço de alojamento e alimentação,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Joao Pessoa,PB,Aeroclube,-,Rua Mirian Barreto Rabelo,-,"Rua Mirian Barreto Rabelo, Joao Pessoa - PB",-7.0930459,-34.8381223,3
Pousada Lampiao Nordeste Ltda - Epp,Pousada Lampiao Nordeste Ltda - Epp,19.916.943/0001-97,SERVIÇOS,Serviço de alojamento e alimentação,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Joao Pessoa,PB,Tambau,-,Avenida Almirante Tamandare,-,"Avenida Almirante Tamandare, Joao Pessoa - PB",-7.1146311,-34.8226207,3
N L Hoteis E Turismo Ltda - Epp,N L Hoteis E Turismo Ltda - Epp,00.518.420/0001-64,SERVIÇOS,Serviço de alojamento e alimentação,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Joao Pessoa,PB,Tambau,-,Santo Antonio,-,"Santo Antonio, Joao Pessoa - PB",-7.1121696,-34.8235344,3
Pousada Do Cajueiro Ltda - Epp,Pousada Do Cajueiro Ltda - Epp,07.393.825/0001-62,SERVIÇOS,Serviço de alojamento e alimentação,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Joao Pessoa,PB,Tambau,-,Avenida Antonio Lira,-,"Avenida Antonio Lira, Joao Pessoa - PB",-7.1184622,-34.8245481,3
W L S L Netto Alimentos Do Brasil Eireli - Epp,W L S L Netto Alimentos Do Brasil Eireli - Epp,16.837.550/0001-08,SERVIÇOS,Serviço de alojamento e alimentação,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Joao Pessoa,PB,Tambau,-,Rua Professora Maria Sales,-,"Rua Professora Maria Sales, Joao Pessoa - PB",-7.1150103,-34.8256667,3
Sebastiao Fernandes De Oliveira Eireli - Epp,Sebastiao Fernandes De Oliveira Eireli - Epp,08.558.538/0001-28,SERVIÇOS,Serviço de alojamento e alimentação,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Joao Pessoa,PB,Torre,-,Rua Santa Julia,-,"Rua Santa Julia, Joao Pessoa - PB",-7.1256634,-34.8614419,3
Maria Carlinda Feitosa De Vasconcelos - Epp,Maria Carlinda Feitosa De Vasconcelos - Epp,08.747.449/0001-20,SERVIÇOS,Serviço de alojamento e alimentação,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Joao Pessoa,PB,Cabo Branco,-,Avenida Presidente Epitacio Pessoa,-,"Avenida Presidente Epitacio Pessoa, Joao Pessoa - PB",-7.1196999,-34.8471031,3
Pousada Maria Bonita Ltda - Epp,Pousada Maria Bonita Ltda - Epp,19.916.775/0001-30,SERVIÇOS,Serviço de alojamento e alimentação,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Joao Pessoa,PB,Cabo Branco,-,Avenida Cabo Branco,-,"Avenida Cabo Branco, Joao Pessoa - PB",-7.1399053,-34.8166105,3
Myrtel Empreendimentos Hoteleiros Ltda - Epp,Myrtel Empreendimentos Hoteleiros Ltda - Epp,24.099.772/0001-90,SERVIÇOS,Serviço de alojamento e alimentação,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Joao Pessoa,PB,Cabo Branco,-,Avenida Cabo Branco,-,"Avenida Cabo Branco, Joao Pessoa - PB",-7.1399053,-34.8166105,3
Terraco Bar E Restaurante Ltda - Epp,Terraco Bar E Restaurante Ltda - Epp,12.428.182/0001-85,SERVIÇOS,Serviço de alojamento e alimentação,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Joao Pessoa,PB,Cabo Branco,-,Avenida Cabo Branco,-,"Avenida Cabo Branco, Joao Pessoa - PB",-7.1399053,-34.8166105,3
Restaurante E Pizzaria Napoli Eireli - Epp,Restaurante E Pizzaria Napoli Eireli - Epp,00.305.569/0001-65,SERVIÇOS,Serviço de alojamento e alimentação,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Joao Pessoa,PB,Cabo Branco,-,Avenida Cabo Branco,-,"Avenida Cabo Branco, Joao Pessoa - PB",-7.1399053,-34.8166105,3
Josivania Leite De Oliveira 86595040468,Josivania Leite De Oliveira 86595040468,11.760.930/0001-60,SERVIÇOS,Serviço de alojamento e alimentação,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Joao Pessoa,PB,Jardim Sao Paulo,-,Rua Empresario Joao Rodrigues Alves,-,"Rua Empresario Joao Rodrigues Alves, Joao Pessoa - PB",-7.1474629,-34.8458715,3
M P A Comercio De Alimentos Ltda - Epp,M P A Comercio De Alimentos Ltda - Epp,13.539.569/0001-71,SERVIÇOS,Serviço de alojamento e alimentação,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Joao Pessoa,PB,Bancarios,-,Avenida Sergio Guerra,-,"Avenida Sergio Guerra, Joao Pessoa - PB",-7.149315,-34.8418067,3
Jackson Carlos Alves Da Silva 06046612403,Jackson Carlos Alves Da Silva 06046612403,23.117.053/0001-92,SERVIÇOS,Serviço de alojamento e alimentação,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Joao Pessoa,PB,Agua Fria,-,Rua Diogenes Chianca,-,"Rua Diogenes Chianca, Joao Pessoa - PB",-7.1652264,-34.8631108,3
Vanesa Patricio Do Nascimento 07342927406,Vanesa Patricio Do Nascimento 07342927406,14.729.525/0001-77,SERVIÇOS,Serviço de alojamento e alimentação,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Joao Pessoa,PB,Ernesto Geisel,-,Avenida Presidente Juscelino Kubitschek,-,"Avenida Presidente Juscelino Kubitschek, Joao Pessoa - PB",-7.1798775,-34.8694639,3
Ra Paolini E Anghinoni Ltda - Epp,Ra Paolini E Anghinoni Ltda - Epp,10.299.987/0001-40,SERVIÇOS,Serviço de alojamento e alimentação,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Baia Da Traicao,PB,Praiinha,-,Rua Maria Das Dores Borges,-,"Rua Maria Das Dores Borges, Baia Da Traicao - PB",-6.6905278,-34.9326713,3
Restaurante E Pousada Baia Bella Apart. Hotel,Euclides Sergio Costa De Lima - Epp,23.400.935/0001-60,SERVIÇOS,Serviço de alojamento e alimentação,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Baia Da Traicao,PB,Centro,-,Rua Jose E. Medeiros,-,"Rua Jose E. Medeiros, Baia Da Traicao - PB",-6.6884816,-34.9338239,3
Musa Motel Ltda - Epp,Musa Motel Ltda - Epp,03.186.530/0001-64,SERVIÇOS,Serviço de alojamento e alimentação,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Cabedelo,PB,Br 230,-,Loteamento Morada Nova,-,"Loteamento Morada Nova, Cabedelo - PB",-7.0936308,-34.8527592,3
Paula Maria Dos Santos 96519932434,Paula Maria Dos Santos 96519932434,13.726.495/0001-82,SERVIÇOS,Serviço de alojamento e alimentação,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Cabedelo,PB,Centro,-,Rua Dr Joao Machado,-,"Rua Dr Joao Machado, Cabedelo - PB",-6.9725996,-34.835237,2
